date,TICKER,Cleaned_Price,Cleaned_Return
2015-07-01,MSFT,44.445,0.006681767
2015-07-02,MSFT,44.4,-0.001012487
2015-07-06,MSFT,44.39,-0.000225225
2015-07-07,MSFT,44.3,-0.002027484
2015-07-08,MSFT,44.24,-0.001354402
2015-07-09,MSFT,44.52,0.006329114
2015-07-10,MSFT,44.61,0.002021563
2015-07-13,MSFT,45.54,0.020847344
2015-07-14,MSFT,45.62,0.001756697
2015-07-15,MSFT,45.76,0.003068829
2015-07-16,MSFT,46.66,0.019667832
2015-07-17,MSFT,46.62,-0.000857265
2015-07-20,MSFT,46.92,0.006435006
2015-07-21,MSFT,47.28,0.007672634
2015-07-22,MSFT,45.54,-0.03680203
2015-07-23,MSFT,46.11,0.012516469
2015-07-24,MSFT,45.94,-0.003686836
2015-07-27,MSFT,45.35,-0.012842838
2015-07-28,MSFT,45.34,-0.000220507
2015-07-29,MSFT,46.29,0.020952801
2015-07-30,MSFT,46.88,0.012745733
2015-07-31,MSFT,46.7,-0.00383959
2015-08-03,MSFT,46.81,0.00235546
2015-08-04,MSFT,47.54,0.015594958
2015-08-05,MSFT,47.58,0.000841397
2015-08-06,MSFT,46.62,-0.020176545
2015-08-07,MSFT,46.74,0.002574003
2015-08-10,MSFT,47.33,0.012623021
2015-08-11,MSFT,46.41,-0.019437989
2015-08-12,MSFT,46.74,0.007110537
2015-08-13,MSFT,46.73,-0.00021395
2015-08-14,MSFT,47,0.005777873
2015-08-17,MSFT,47.32,0.006808511
2015-08-18,MSFT,47.27,-0.001056636
2015-08-19,MSFT,46.61,-0.013962344
2015-08-20,MSFT,45.66,-0.020381892
2015-08-21,MSFT,43.07,-0.056723609
2015-08-24,MSFT,41.68,-0.032273044
2015-08-25,MSFT,40.47,-0.02903071
2015-08-26,MSFT,42.71,0.055349642
2015-08-27,MSFT,43.9,0.027862327
2015-08-28,MSFT,43.93,0.000683371
2015-08-31,MSFT,43.52,-0.00933303
2015-09-01,MSFT,41.82,-0.0390625
2015-09-02,MSFT,43.36,0.036824486
2015-09-03,MSFT,43.5,0.003228782
2015-09-04,MSFT,42.61,-0.02045977
2015-09-08,MSFT,43.89,0.030039897
2015-09-09,MSFT,43.07,-0.018683071
2015-09-10,MSFT,43.29,0.005107964
2015-09-11,MSFT,43.48,0.004389004
2015-09-14,MSFT,43.04,-0.010119595
2015-09-15,MSFT,43.98,0.021840149
2015-09-16,MSFT,44.3,0.007276035
2015-09-17,MSFT,44.25,-0.001128668
2015-09-18,MSFT,43.48,-0.01740113
2015-09-21,MSFT,44.11,0.01448942
2015-09-22,MSFT,43.9,-0.004760825
2015-09-23,MSFT,43.87,-0.000683371
2015-09-24,MSFT,43.91,0.000911785
2015-09-25,MSFT,43.94,0.000683216
2015-09-28,MSFT,43.29,-0.014792899
2015-09-29,MSFT,43.44,0.003465003
2015-09-30,MSFT,44.26,0.018876611
2015-10-01,MSFT,44.61,0.007907817
2015-10-02,MSFT,45.57,0.021519839
2015-10-05,MSFT,46.63,0.023260917
2015-10-06,MSFT,46.75,0.002573451
2015-10-07,MSFT,46.8,0.001069519
2015-10-08,MSFT,47.45,0.013888889
2015-10-09,MSFT,47.11,-0.007165437
2015-10-12,MSFT,47,-0.002334961
2015-10-13,MSFT,46.89,-0.002340426
2015-10-14,MSFT,46.68,-0.004478567
2015-10-15,MSFT,47.01,0.007069409
2015-10-16,MSFT,47.51,0.010636035
2015-10-19,MSFT,47.62,0.002315302
2015-10-20,MSFT,47.77,0.003149937
2015-10-21,MSFT,47.2,-0.011932175
2015-10-22,MSFT,48.03,0.017584746
2015-10-23,MSFT,52.87,0.100770352
2015-10-26,MSFT,54.25,0.026101759
2015-10-27,MSFT,53.69,-0.010322581
2015-10-28,MSFT,53.98,0.005401378
2015-10-29,MSFT,53.36,-0.011485735
2015-10-30,MSFT,52.64,-0.013493253
2015-11-02,MSFT,53.24,0.011398176
2015-11-03,MSFT,54.15,0.017092412
2015-11-04,MSFT,54.4,0.004616805
2015-11-05,MSFT,54.38,-0.000367647
2015-11-06,MSFT,54.92,0.009930121
2015-11-09,MSFT,54.16,-0.01383831
2015-11-10,MSFT,53.51,-0.012001477
2015-11-11,MSFT,53.65,0.002616333
2015-11-12,MSFT,53.32,-0.006150979
2015-11-13,MSFT,52.84,-0.009002251
2015-11-16,MSFT,53.765,0.017505678
2015-11-17,MSFT,52.97,-0.014786571
2015-11-18,MSFT,53.85,0.016613177
2015-11-19,MSFT,53.94,0.001671309
2015-11-20,MSFT,54.19,0.004634779
2015-11-23,MSFT,54.19,0
2015-11-24,MSFT,54.25,0.001107215
2015-11-25,MSFT,53.69,-0.010322581
2015-11-27,MSFT,53.93,0.004470106
2015-11-30,MSFT,54.35,0.007787873
2015-12-01,MSFT,55.22,0.01600736
2015-12-02,MSFT,55.21,-0.000181094
2015-12-03,MSFT,54.2,-0.018293787
2015-12-04,MSFT,55.91,0.031549815
2015-12-07,MSFT,55.81,-0.001788589
2015-12-08,MSFT,55.79,-0.000358359
2015-12-09,MSFT,54.98,-0.014518731
2015-12-10,MSFT,55.27,0.005274645
2015-12-11,MSFT,54.06,-0.021892528
